question,choices,correct,type,model_response,model_response_color,correct_color,accuracy_baseline,accuracy
yellow,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_10.jpg'],0,0,['yellow'],['yellow'],0.2,1
purple,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_2.jpg'],0,3,['green'],['purple'],0.2,0
blue,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_4.jpg'],0,3,['green'],['blue'],0.2,0
green,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_6.jpg'],0,0,['yellow'],['green'],0.2,0
red,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_8.jpg'],0,0,['yellow'],['red'],0.2,0
green,"['valve_rot_s_6.jpg', 'valve_rot_s_4.jpg', 'valve_rot_s_2.jpg', 'valve_rot_s_8.jpg']",['valve_rot_s_6.jpg'],0,0,['green'],['green'],0.25,1
blue,"['valve_rot_s_6.jpg', 'valve_rot_s_4.jpg', 'valve_rot_s_2.jpg', 'valve_rot_s_8.jpg']","['valve_rot_s_4.jpg', 'valve_rot_s_2.jpg']",0,1,['blue'],['blue'],0.5,1
red,"['valve_rot_s_6.jpg', 'valve_rot_s_4.jpg', 'valve_rot_s_2.jpg', 'valve_rot_s_8.jpg']",['valve_rot_s_8.jpg'],0,3,"['red', 'pink']",['red'],0.25,1
pink,"['valve_rot_s_6.jpg', 'valve_rot_s_4.jpg', 'valve_rot_s_2.jpg', 'valve_rot_s_8.jpg']",['valve_rot_s_8.jpg'],0,0,['green'],['pink'],0.25,0
green,"['extension_cord_rot_s_5.jpg', 'extension_cord_rot_s_7.jpg', 'extension_cord_rot_s_3.jpg', 'extension_cord_rot_s_1.jpg', 'extension_cord_rot_s_9.jpg']","['extension_cord_rot_s_5.jpg', 'extension_cord_rot_s_9.jpg']",0,4,"['yellow', 'green']",['green'],0.4,1
red,"['extension_cord_rot_s_5.jpg', 'extension_cord_rot_s_7.jpg', 'extension_cord_rot_s_3.jpg', 'extension_cord_rot_s_1.jpg', 'extension_cord_rot_s_9.jpg']",['extension_cord_rot_s_7.jpg'],0,0,['green'],['red'],0.2,0
brown,"['extension_cord_rot_s_5.jpg', 'extension_cord_rot_s_7.jpg', 'extension_cord_rot_s_3.jpg', 'extension_cord_rot_s_1.jpg', 'extension_cord_rot_s_9.jpg']",['extension_cord_rot_s_7.jpg'],0,0,['green'],['brown'],0.2,0
purple,"['extension_cord_rot_s_5.jpg', 'extension_cord_rot_s_7.jpg', 'extension_cord_rot_s_3.jpg', 'extension_cord_rot_s_1.jpg', 'extension_cord_rot_s_9.jpg']","['extension_cord_rot_s_3.jpg', 'extension_cord_rot_s_1.jpg']",0,0,['green'],['purple'],0.4,0
yellow,"['extension_cord_rot_s_5.jpg', 'extension_cord_rot_s_7.jpg', 'extension_cord_rot_s_3.jpg', 'extension_cord_rot_s_1.jpg', 'extension_cord_rot_s_9.jpg']",['extension_cord_rot_s_9.jpg'],0,0,['green'],['yellow'],0.2,0
yellow,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']",['container_open_rot_s_8.jpg'],0,2,"['red', 'pink']",['yellow'],0.2,0
green,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']",['container_open_rot_s_10.jpg'],0,2,"['red', 'pink']",['green'],0.2,0
red,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']",['container_open_rot_s_2.jpg'],0,2,"['red', 'pink']",['red'],0.2,1
pink,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']","['container_open_rot_s_2.jpg', 'container_open_rot_s_4.jpg']",0,0,['yellow'],['pink'],0.4,0
blue,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']",['container_open_rot_s_6.jpg'],0,1,['green'],['blue'],0.2,0
blue,"['truck_rot_s_7.jpg', 'truck_rot_s_3.jpg', 'truck_rot_s_1.jpg', 'truck_rot_s_9.jpg']","['truck_rot_s_7.jpg', 'truck_rot_s_9.jpg']",0,2,['green'],['blue'],0.5,0
yellow,"['truck_rot_s_7.jpg', 'truck_rot_s_3.jpg', 'truck_rot_s_1.jpg', 'truck_rot_s_9.jpg']",['truck_rot_s_3.jpg'],0,1,['yellow'],['yellow'],0.25,1
green,"['truck_rot_s_7.jpg', 'truck_rot_s_3.jpg', 'truck_rot_s_1.jpg', 'truck_rot_s_9.jpg']",['truck_rot_s_1.jpg'],0,2,['green'],['green'],0.25,1
red,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_2.jpg'],0,0,['red'],['red'],0.25,1
green,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_10.jpg'],0,0,['red'],['green'],0.25,0
