question,choices,correct,type,accuracy
yellow,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_10.jpg'],0,1
purple,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_2.jpg'],0,0
blue,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_4.jpg'],0,0
green,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_6.jpg'],0,0
red,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_8.jpg'],0,0
red,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_2.jpg'],0,1
green,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_10.jpg'],0,0
blue,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_6.jpg'],0,0
yellow,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_8.jpg'],0,0
purple,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_6.jpg'],0,0
yellow,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_2.jpg'],0,1
blue,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_10.jpg'],0,0
green,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_8.jpg'],0,0
green,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_7.jpg'],0,0
purple,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_5.jpg'],0,0
yellow,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_1.jpg'],0,0
blue,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_9.jpg'],0,0
pink,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_3.jpg'],0,0
red,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_1.jpg'],0,0
blue,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_5.jpg'],0,0
yellow,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_7.jpg'],0,0
green,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_9.jpg'],0,0
blue,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_10.jpg'],0,0
yellow,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_2.jpg'],0,1
purple,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_6.jpg'],0,0
red,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_4.jpg'],0,0
