question,choices,correct,type,model_response,model_response_color,correct_color,accuracy_baseline,accuracy
yellow,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_10.jpg'],0,0,yellow,yellow,0.2,1
purple,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_2.jpg'],0,3,green,purple,0.2,0
blue,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_4.jpg'],0,3,green,blue,0.2,0
green,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_6.jpg'],0,0,yellow,green,0.2,0
red,"['tool_box_rot_s_10.jpg', 'tool_box_rot_s_2.jpg', 'tool_box_rot_s_4.jpg', 'tool_box_rot_s_6.jpg', 'tool_box_rot_s_8.jpg']",['tool_box_rot_s_8.jpg'],0,0,yellow,red,0.2,0
green,"['valve_rot_s_6.jpg', 'valve_rot_s_4.jpg', 'valve_rot_s_2.jpg']",['valve_rot_s_6.jpg'],0,0,green,green,0.3333333333333333,1
red,"['extension_cord_rot_s_5.jpg', 'extension_cord_rot_s_7.jpg', 'extension_cord_rot_s_3.jpg', 'extension_cord_rot_s_1.jpg', 'extension_cord_rot_s_9.jpg']",['extension_cord_rot_s_7.jpg'],0,0,green,red,0.2,0
yellow,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']",['container_open_rot_s_8.jpg'],0,2,pink,yellow,0.2,0
green,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']",['container_open_rot_s_10.jpg'],0,2,pink,green,0.2,0
blue,"['container_open_rot_s_8.jpg', 'container_open_rot_s_10.jpg', 'container_open_rot_s_2.jpg', 'container_open_rot_s_6.jpg', 'container_open_rot_s_4.jpg']",['container_open_rot_s_6.jpg'],0,1,green,blue,0.2,0
red,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_2.jpg'],0,0,red,red,0.25,1
green,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_10.jpg'],0,0,red,green,0.25,0
blue,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_6.jpg'],0,0,red,blue,0.25,0
yellow,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_8.jpg'],0,2,blue,yellow,0.25,0
yellow,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_7.jpg'],0,4,green,yellow,0.2,0
pink,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_1.jpg'],0,4,green,pink,0.2,0
purple,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_3.jpg'],0,4,green,purple,0.2,0
purple,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_6.jpg'],0,2,yellow,purple,0.2,0
brown,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_4.jpg'],0,4,green,brown,0.2,0
yellow,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_2.jpg'],0,2,yellow,yellow,0.2,1
blue,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_10.jpg'],0,4,green,blue,0.2,0
green,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_8.jpg'],0,2,yellow,green,0.2,0
purple,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_3.jpg'],0,2,green,purple,0.25,0
pink,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_1.jpg'],0,0,purple,pink,0.25,0
green,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_5.jpg'],0,3,yellow,green,0.25,0
